cod_contrato,eps,regimen
EPSI05,MALLAMAS,SUBSIDIADO
EPSIC5,MALLAMAS,CONTRIBUTIVO
ESS118,EMSSANAR,SUBSIDIADO
ESSC18,EMSSANAR,CONTRIBUTIVO
EPSS41,NUEVA EPS,SUBSIDIADO
EPS037,NUEVA EPS,CONTRIBUTIVO
86000,DEPARTAMENTO,VINCULADO
86,VINCULADOS PPNA,VINCULADO
5177,EJERCITO,REGIMEN ESPECIAL
RES004,FIDUPREVISORA,REGIMEN ESPECIAL
RES001,POLICIA NACIONAL,REGIMEN ESPECIAL
0001,SOAT-PARTICULAR,PARTICULAR
AT1306,SOAT AXA COLPATRIA,CONTRATOS SOAT
1327,SOAT-SEGUROS-BOLIVAR,CONTRATOS SOAT
AT1317,ASIS-SOAT-MUNDIAL-DE-SEGUROS,CONTRATOS SOAT
1318,ASIS-SOAT-SURA,CONTRATOS SOAT
AT1324,ASIS-SOAT-LAPREVISORA,CONTRATOS SOAT
AT1329,ASIS-SOAT-SEGUROS-DEL-ESTADO,CONTRATOS SOAT
MIN001,ADRES ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL,CONTRATOS SOAT
000124,ASIS-ARL-SURAMERICANA,CONTRATOS ARL
1423,ASIS-ARL-POSITIVA-COMPANIA-DE-SEGUROS,CONTRATOS ARL
1429,ASIS-ARL-EQUIDAD-SEGUROS,CONTRATOS ARL
1425,ASIS-ARL-COLMENA,CONTRATOS ARL
144,ASIS-ARL-AXA-COLPATRIA-SEGUROS-DEVIDA,CONTRATOS ARL
ESS062,ASMET SALUD,SUBSIDIADO
ESSC62,ASMET SALUD,CONTRIBUTIVO
EPSS005,SANITAS,SUBSIDIADO
EPSC005,SANITAS,CONTRIBUTIVO
